F10.2;TBL  MENT  DUS A ALCOOL   SYND  DE DEPENDANCE
F10.20;DÉPENDANCE À ALCOOL ABSTINENT
F10.200;DÉPENDANCE À ALCOOL ABSTINENT RÉMISSION RÉCENTE
F10.201;DÉPENDANCE À ALCOOL ABSTINENT RÉMISSION PART
F10.202;DÉPENDANCE À ALCOOL ABSTINENT RÉMISSION CPLT
F10.21;DÉPENDANCE À ALCOOL ABSTINENT +ENVIR PROTÉGÉ
F10.22;DÉPENDANCE À ALCOOL RÉGIME MAINTENANCE SUBSTIT SURVEILLÉ
F10.23;DÉPENDANCE À ALCOOL ABSTINENT +TRAITT AVERSIF
F10.24;DÉPENDANCE À ALCOOL UTIL ACTUELLE
F10.240;DÉPENDANCE À ALCOOL UTIL ACTUELLE SANS SYMPT PHYS
F10.241;DÉPENDANCE À ALCOOL UTIL ACTUELLE +SYMPT PHYS
F10.25;DÉPENDANCE À ALCOOL UTIL CONTINUE
F10.26;DÉPENDANCE À ALCOOL UTIL ÉPISOD
F10.3;TBL  MENT  DUS A ALCOOL   SYND  DE SEVRAGE
F10.30;SYND SEVRAGE ALCOOL SANS COMPLIC
F10.31;SYND SEVRAGE ALCOOL +CONVULSIONS
F10.4;TBL  MENT  DUS A ALCOOL   SYND  DE SEVR  + DELIRIUM
F10.40;SYND SEVRAGE ALCOOL +DÉLIRIUM SANS CONVULSION
F10.41;SYND SEVRAGE ALCOOL +DÉLIRIUM +CONVULSIONS
Z50.2;SEVRAGE D ALCOOL
